Time to expected flood,Wind speed,Future weather forecast,Demographics of threatened area ,Temperature,Precipitation Status,Evacuate or Not?,
12-1 hours,Low: 0-5 Bft,Stays the same,Partly populated,0 – 15 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Stays the same,Partly populated,15+ degrees Celsius,No precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Stays the same,Partly populated,15+ degrees Celsius,Precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Stays the same,Densely populated,-20 – 0 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Stays the same,Densely populated,-20 – 0 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Stays the same,Densely populated,0 – 15 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Stays the same,Densely populated,0 – 15 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Stays the same,Densely populated,15+ degrees Celsius,No precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Stays the same,Densely populated,15+ degrees Celsius,Precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Not populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Not populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Not populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Not populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Not populated,15+ degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Not populated,15+ degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Partly populated,-20 – 0 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Partly populated,-20 – 0 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Partly populated,0 – 15 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Partly populated,0 – 15 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Partly populated,15+ degrees Celsius,No precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Partly populated,15+ degrees Celsius,Precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Densely populated,-20 – 0 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Densely populated,-20 – 0 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Densely populated,0 – 15 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Densely populated,0 – 15 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Densely populated,15+ degrees Celsius,No precipitation,Evacuate,
12-1 hours,Low: 0-5 Bft,Getting worse,Densely populated,15+ degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Not populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Not populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Not populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Not populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Not populated,15+ degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Not populated,15+ degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Partly populated,-20 – 0 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Partly populated,-20 – 0 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Partly populated,0 – 15 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Partly populated,0 – 15 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Partly populated,15+ degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Partly populated,15+ degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Densely populated,-20 – 0 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Densely populated,-20 – 0 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Densely populated,0 – 15 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Densely populated,0 – 15 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Densely populated,15+ degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Improves,Densely populated,15+ degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Not populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Not populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Not populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Not populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Not populated,15+ degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Not populated,15+ degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Partly populated,-20 – 0 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Partly populated,-20 – 0 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Partly populated,0 – 15 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Partly populated,0 – 15 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Partly populated,15+ degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Partly populated,15+ degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Densely populated,-20 – 0 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Densely populated,-20 – 0 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Densely populated,0 – 15 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Densely populated,0 – 15 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Densely populated,15+ degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Stays the same,Densely populated,15+ degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Not populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Not populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Not populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Not populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Not populated,15+ degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Not populated,15+ degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Partly populated,-20 – 0 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Partly populated,-20 – 0 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Partly populated,0 – 15 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Partly populated,0 – 15 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Partly populated,15+ degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Partly populated,15+ degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Densely populated,-20 – 0 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Densely populated,-20 – 0 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Densely populated,0 – 15 degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Densely populated,0 – 15 degrees Celsius,Precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Densely populated,15+ degrees Celsius,No precipitation,Evacuate,
12-1 hours,Medium: 5-10 Bft,Getting worse,Densely populated,15+ degrees Celsius,Precipitation,Evacuate,
12-1 hours,High: > 10 Bft,Improves,Not populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Not populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Not populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Not populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Not populated,15+ degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Not populated,15+ degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Partly populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Partly populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Partly populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Partly populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Partly populated,15+ degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Partly populated,15+ degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Densely populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Densely populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Densely populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Densely populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Densely populated,15+ degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Improves,Densely populated,15+ degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Not populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Not populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Not populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Not populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Not populated,15+ degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Not populated,15+ degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Partly populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Partly populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Partly populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Partly populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Partly populated,15+ degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Partly populated,15+ degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Densely populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Densely populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Densely populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Densely populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Densely populated,15+ degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Stays the same,Densely populated,15+ degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Not populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Not populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Not populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Not populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Not populated,15+ degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Not populated,15+ degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Partly populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Partly populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Partly populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Partly populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Partly populated,15+ degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Partly populated,15+ degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Densely populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Densely populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Densely populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Densely populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Densely populated,15+ degrees Celsius,No precipitation,Not Evacuate,
12-1 hours,High: > 10 Bft,Getting worse,Densely populated,15+ degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Not populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Not populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Not populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Not populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Not populated,15+ degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Not populated,15+ degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Partly populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Partly populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Partly populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Partly populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Partly populated,15+ degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Partly populated,15+ degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Densely populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Densely populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Densely populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Densely populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Densely populated,15+ degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Improves,Densely populated,15+ degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Not populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Not populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Not populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Not populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Not populated,15+ degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Not populated,15+ degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Partly populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Partly populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Partly populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Partly populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Partly populated,15+ degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Partly populated,15+ degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Densely populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Densely populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Densely populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Densely populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Densely populated,15+ degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Stays the same,Densely populated,15+ degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Not populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Not populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Not populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Not populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Not populated,15+ degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Not populated,15+ degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Partly populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Partly populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Partly populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Partly populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Partly populated,15+ degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Partly populated,15+ degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Densely populated,-20 – 0 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Densely populated,-20 – 0 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Densely populated,0 – 15 degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Densely populated,0 – 15 degrees Celsius,Precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Densely populated,15+ degrees Celsius,No precipitation,Not Evacuate,
< 1 hour,Low: 0-5 Bft,Getting worse,Densely populated,15+ degrees Celsius,Precipitation,Not Evacuate,
